Month,VHT,ToD,Agents,CallsOffered,CallsAbandoned,CallsHandled,ASA,Avehandletime
Oct-Nov,Off,morning,26,168,0,168,0,4.7
Oct-Nov,Off,afternoon,21,118,0,118,0,5.1
Oct-Nov,On,evening,11,103,21,82,9.13,6.5
Oct-Nov,Off,evening,58,45,0,45,0.03,38.7
Oct-Nov,On,morning,32,188,1,187,0.4,5.2
Oct-Nov,On,morning,33,202,7,195,2.4,5
Oct-Nov,Off,morning,35,223,4,219,0.32,4.9
Oct-Nov,Off,evening,9,98,22,76,7.92,5.4
Oct-Nov,Off,afternoon,34,226,27,199,4.27,5.6
Oct-Nov,Off,morning,32,212,0,212,0,4.6
Oct-Nov,Off,afternoon,29,189,24,165,4.35,5.7
Oct-Nov,Off,morning,41,223,1,222,0.03,5.5
Oct-Nov,Off,afternoon,42,222,9,213,1.3,6
Oct-Nov,On,afternoon,32,170,0,170,0.23,5.5
Oct-Nov,On,evening,11,65,0,65,0,5.1
Oct-Nov,Off,afternoon,34,188,0,188,0,5.5
Oct-Nov,Off,evening,11,66,0,66,0,5.4
Oct-Nov,Off,evening,4,27,0,27,0,3.8
Oct-Nov,On,afternoon,17,110,0,110,0,4.7
Oct-Nov,Off,afternoon,30,166,0,166,0,5.5
Oct-Nov,Off,afternoon,38,216,1,215,0.02,5.3
Oct-Nov,Off,morning,11,67,4,63,0.88,4.7
Oct-Nov,Off,morning,23,138,0,138,0,4.9
Oct-Nov,On,morning,22,203,30,173,6.72,5.2
Oct-Nov,Off,afternoon,11,65,0,65,0.05,4.9
Oct-Nov,On,afternoon,39,187,2,185,0.32,6.3
Oct-Nov,On,evening,12,65,1,64,0,5.7
Oct-Nov,Off,afternoon,29,165,0,165,0,5.4
Oct-Nov,Off,morning,9,60,0,60,0.1,4.7
Oct-Nov,Off,morning,26,153,0,153,0.27,5
Oct-Nov,Off,morning,10,73,8,65,2.85,4.4
Oct-Nov,On,evening,11,48,0,48,0,7.3
Oct-Nov,On,morning,43,220,1,219,0.63,5.8
Oct-Nov,On,afternoon,25,155,0,155,0,4.9
Oct-Nov,On,evening,11,74,1,73,0.38,4.5
Oct-Nov,Off,afternoon,31,164,0,164,0,5.6
Oct-Nov,Off,morning,49,262,10,252,1.88,5.7
Oct-Nov,On,morning,42,220,2,218,0.88,5.8
Oct-Nov,Off,afternoon,31,151,0,151,0,6
Oct-Nov,Off,morning,19,113,0,113,0,4.9
